Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
31.0,1,1,3,10.394713379992396,0,0,18.0,104.0,94.0,40.0,High
45.0,1,3,4,17.038151196443362,0,0,12.0,111.0,61.0,18.0,Medium
43.0,0,1,1,20.53595051790176,0,1,11.0,26.0,11.0,21.0,Low
19.0,0,3,4,9.804399144624536,0,0,4.0,153.0,78.0,24.0,Medium
37.0,1,1,2,15.923320557398306,0,0,9.0,36.0,72.0,16.0,Low
46.0,0,3,1,12.658163606037494,0,2,18.0,62.0,70.0,48.0,Medium
17.0,0,3,1,13.401922980165969,1,0,10.0,68.0,45.0,9.0,Medium
44.0,1,3,0,14.559087930223486,0,0,8.0,77.0,44.0,30.0,Medium
20.0,0,3,2,14.123711248387036,0,1,9.0,27.0,54.0,18.0,Low
40.0,0,3,3,18.81679524836897,2,0,7.0,65.0,45.0,2.0,Medium
49.0,1,1,1,0.7879230995439901,0,1,17.0,138.0,22.0,17.0,High
38.0,0,1,4,23.804464769402536,0,2,0.0,28.0,51.0,31.0,Medium
19.0,0,0,2,11.81580507474598,0,1,7.0,131.0,74.0,41.0,Medium
42.0,0,3,3,10.667365302827845,0,0,13.0,11.0,39.0,16.0,Low
45.0,0,1,2,18.041397096021985,0,0,15.0,108.0,44.0,42.0,High
35.0,1,3,4,3.279727783718501,1,1,15.0,51.0,44.0,47.0,Low
46.0,0,3,2,3.8791353227871017,0,0,6.0,112.0,51.0,14.0,Medium
37.0,0,1,2,1.87239868483685,0,2,15.0,23.0,86.0,27.0,Medium
29.0,0,3,1,9.605523978695045,0,2,5.0,35.0,38.0,36.0,Low
39.0,1,0,1,9.34018574504611,0,1,14.0,37.0,14.0,47.0,Medium
16.0,1,3,2,16.67636821735936,0,1,2.0,154.0,60.0,31.0,Medium
27.0,0,2,1,2.6250252444373805,0,0,7.0,82.0,86.0,31.0,Medium
16.0,1,0,0,12.64137439720821,0,0,12.0,67.0,82.0,35.0,Medium
28.0,1,1,3,23.78809069209544,0,0,1.0,99.0,92.0,11.0,Low
43.0,1,2,0,10.697762910659224,1,0,10.0,20.0,56.0,34.0,Low
15.0,0,1,0,7.349110060710862,0,0,16.0,49.0,90.0,42.0,Medium
33.0,1,3,0,12.029028021180606,0,0,1.0,170.0,70.0,32.0,Low
24.0,1,1,1,16.249791933197056,0,2,10.0,149.0,80.0,41.0,High
41.0,1,2,2,9.254423049897271,0,0,11.0,84.0,30.0,21.0,Medium
24.0,0,1,4,12.150539112201766,0,0,4.0,115.0,65.0,14.0,Medium
16.0,1,2,0,20.256331595040905,0,0,9.0,19.0,95.0,31.0,Medium
21.0,1,1,1,15.201673017884213,0,2,12.0,83.0,44.0,48.0,Medium
39.0,0,0,1,6.955332545856201,1,1,9.0,25.0,72.0,7.0,Low
49.0,1,0,4,12.560794501269587,0,0,8.0,157.0,34.0,23.0,Medium
47.0,1,1,0,2.1086675671106407,1,2,11.0,130.0,9.0,10.0,Medium
35.0,0,3,2,14.930805810992396,0,2,9.0,103.0,92.0,3.0,Medium
16.0,0,0,0,14.312632290311836,0,0,5.0,90.0,77.0,44.0,Medium
35.0,1,3,3,22.420668834503285,0,0,10.0,37.0,66.0,19.0,Medium
46.0,0,3,1,20.693171289623844,1,2,11.0,86.0,16.0,15.0,Medium
47.0,1,0,1,7.346908298706278,2,0,16.0,71.0,94.0,40.0,Medium
44.0,1,0,2,23.73530173593704,0,0,1.0,35.0,30.0,44.0,Low
20.0,0,3,0,19.79654527113375,0,2,12.0,17.0,92.0,39.0,Medium
35.0,1,1,4,2.5189176699651528,0,1,13.0,144.0,38.0,6.0,High
27.0,1,1,4,0.8479326478438995,0,0,8.0,126.0,82.0,13.0,High
34.0,0,1,3,19.490936812244374,0,0,10.0,103.0,51.0,15.0,Medium
44.0,1,1,1,3.547888144688825,0,1,5.0,55.0,11.0,7.0,Low
21.0,1,3,0,10.843962012751316,0,2,2.0,31.0,31.0,22.0,Low
29.0,0,0,2,3.575787320653549,0,2,17.0,39.0,2.0,1.0,Medium
26.0,1,0,4,9.502469707461822,0,1,17.0,136.0,62.0,43.0,High
17.0,0,3,1,9.590217192794071,0,0,18.0,168.0,5.0,44.0,High
40.0,1,3,0,12.444495364164492,0,0,17.0,162.0,66.0,3.0,High
22.0,1,3,3,16.98173905480087,0,1,12.0,96.0,17.0,40.0,Medium
19.0,0,1,1,8.588425690000687,0,0,4.0,21.0,66.0,44.0,Low
44.0,0,1,2,8.41594386429723,0,0,0.0,172.0,25.0,45.0,Low
28.0,1,1,2,7.007226791045077,1,2,17.0,25.0,52.0,29.0,Medium
24.0,0,3,0,16.061802889743795,0,0,12.0,23.0,23.0,46.0,Low
42.0,0,1,4,10.774248959591834,0,0,8.0,86.0,9.0,43.0,High
21.0,1,1,1,3.275899786729954,0,0,3.0,68.0,14.0,43.0,Low
34.0,0,3,3,17.60527832317576,0,0,14.0,13.0,46.0,32.0,High
18.0,0,3,3,18.899139130608464,0,1,17.0,122.0,48.0,1.0,High
23.0,1,0,4,22.376298724254735,0,1,17.0,40.0,18.0,18.0,Medium
35.0,0,3,4,12.63874885534759,0,0,9.0,146.0,67.0,39.0,High
15.0,1,3,2,23.39170910458843,2,2,11.0,156.0,20.0,20.0,High
48.0,1,0,0,17.372212553697324,0,0,3.0,179.0,70.0,7.0,Medium
33.0,1,1,3,7.351962355242806,1,1,8.0,95.0,36.0,,Medium
32.0,1,3,4,8.616202925677355,0,2,15.0,101.0,60.0,29.0,High
15.0,1,2,0,4.827413115335274,0,1,18.0,131.0,32.0,8.0,High
38.0,1,1,1,17.70846126942278,1,0,1.0,113.0,83.0,11.0,Low
20.0,0,1,1,20.520409426418546,0,2,9.0,57.0,47.0,8.0,Medium
19.0,0,1,1,14.748528983027924,0,0,7.0,70.0,65.0,15.0,Medium
27.0,0,3,0,17.11834859432107,0,2,18.0,24.0,9.0,1.0,Medium
43.0,1,3,2,8.45726489996765,0,1,4.0,135.0,97.0,14.0,Medium
33.0,1,3,1,2.897114393523144,0,1,8.0,76.0,65.0,9.0,Medium
26.0,1,3,4,19.467650665422266,0,0,17.0,71.0,71.0,46.0,Medium
25.0,1,0,0,11.27214564279038,0,0,9.0,109.0,93.0,15.0,Medium
42.0,0,3,0,3.2881884568847517,0,0,3.0,21.0,2.0,46.0,Low
25.0,1,1,1,17.891231101005296,0,1,4.0,73.0,19.0,25.0,Low
25.0,0,1,1,16.834973880883965,0,0,7.0,12.0,58.0,13.0,Low
46.0,1,3,4,1.318308825710595,0,0,5.0,141.0,52.0,32.0,Medium
22.0,0,1,2,10.761127111186507,0,1,18.0,156.0,58.0,20.0,High
18.0,1,0,2,10.683028818775616,1,0,16.0,178.0,93.0,44.0,High
48.0,0,1,4,20.11577840151232,0,0,6.0,103.0,42.0,9.0,Medium
31.0,1,1,2,4.809251476801473,1,2,16.0,53.0,19.0,0.0,Medium
46.0,1,1,2,20.86742910775458,0,0,13.0,156.0,14.0,49.0,High
37.0,1,1,3,9.658102833747428,0,0,16.0,29.0,82.0,16.0,Medium
27.0,0,1,0,15.812431762282976,0,1,3.0,178.0,54.0,2.0,Medium
30.0,0,0,1,16.395762310516837,0,1,9.0,130.0,75.0,4.0,Medium
20.0,0,3,4,23.081076778722444,0,1,6.0,73.0,30.0,19.0,Medium
34.0,1,0,1,14.18640007291431,0,1,9.0,166.0,42.0,10.0,High
18.0,1,3,1,11.814759909075187,0,2,8.0,74.0,9.0,24.0,Medium
35.0,0,3,1,4.2568021537274765,0,0,12.0,88.0,31.0,48.0,Medium
41.0,0,1,2,10.94563990692276,0,1,3.0,30.0,24.0,3.0,Low
49.0,1,0,0,18.784460267029456,0,1,10.0,110.0,2.0,40.0,High
31.0,1,0,2,13.2880290803236,0,2,14.0,96.0,,17.0,Medium
26.0,1,3,4,11.552023621896115,0,0,11.0,18.0,79.0,11.0,High
17.0,0,0,1,20.50529531370626,0,1,8.0,168.0,13.0,25.0,Medium
45.0,1,3,4,17.525522309148073,0,1,16.0,163.0,63.0,2.0,High
30.0,2,3,2,2.0649859192532745,1,0,18.0,100.0,34.0,28.0,High
45.0,0,3,5,,1,1,14.0,80.0,97.0,20.0,Medium
38.0,1,3,1,15.23766174581998,0,0,6.0,22.0,74.0,10.0,Low
35.0,0,3,2,4.5366978102855295,0,2,1.0,88.0,83.0,21.0,Low
23.0,1,1,1,0.4366419027262687,0,2,5.0,47.0,99.0,2.0,Low
41.0,1,0,1,17.23902586072562,0,0,16.0,125.0,99.0,25.0,High
41.0,1,3,0,13.456594368053953,2,2,10.0,175.0,2.0,15.0,High
41.0,0,3,2,19.91572091672269,1,0,18.0,50.0,93.0,21.0,Medium
43.0,1,3,0,18.4228618020163,0,0,19.0,113.0,81.0,26.0,High
43.0,1,1,3,8.022649184035785,0,2,14.0,138.0,86.0,44.0,High
19.0,1,2,4,0.0384317714657607,1,0,3.0,58.0,55.0,2.0,Low
34.0,0,0,4,22.31525647490472,0,0,0.0,101.0,1.0,31.0,Low
19.0,1,0,4,22.075873800029644,0,1,8.0,28.0,94.0,47.0,Medium
39.0,1,3,4,10.67978002426577,1,0,10.0,108.0,19.0,20.0,Medium
33.0,1,1,3,4.0489803500843005,0,2,8.0,162.0,94.0,3.0,Medium
29.0,1,3,3,3.9617686827780254,0,2,13.0,156.0,58.0,39.0,Medium
32.0,1,1,3,17.093524241206815,0,0,17.0,70.0,12.0,33.0,Medium
43.0,1,1,3,15.749696162239498,0,0,4.0,65.0,63.0,3.0,Low
22.0,0,3,3,7.333793995757831,1,2,8.0,95.0,86.0,23.0,Medium
17.0,0,3,0,14.798862367245595,1,0,9.0,68.0,90.0,47.0,Medium
32.0,1,3,1,1.338571896880537,0,0,14.0,101.0,58.0,48.0,High
38.0,2,1,3,5.6748191257638805,2,0,0.0,113.0,10.0,43.0,Low
25.0,1,1,3,4.735926289404016,0,0,0.0,32.0,9.0,21.0,Low
27.0,0,3,1,6.637575248315356,0,0,8.0,148.0,7.0,3.0,Medium
36.0,0,1,2,0.8490507985391043,0,0,9.0,150.0,25.0,13.0,Medium
26.0,0,3,3,22.809441221758064,0,2,1.0,48.0,18.0,46.0,Low
37.0,1,3,1,2.107870366319383,1,2,7.0,65.0,94.0,23.0,Medium
31.0,0,0,1,21.903314118800324,0,2,5.0,24.0,52.0,25.0,Low
37.0,0,0,4,9.28255520105419,0,2,15.0,34.0,40.0,0.0,Medium
40.0,1,1,1,9.798837499030864,0,0,15.0,41.0,98.0,26.0,Medium
38.0,1,1,4,2.117896341430828,0,2,2.0,120.0,96.0,17.0,Low
26.0,0,0,1,20.16061842993064,0,0,7.0,136.0,98.0,18.0,Medium
35.0,0,1,0,1.595616953570774,1,2,4.0,130.0,59.0,27.0,Low
26.0,0,3,0,17.58811778956371,0,1,8.0,90.0,,18.0,Medium
22.0,0,3,4,18.91499935004649,0,0,12.0,134.0,24.0,48.0,High
17.0,0,3,3,5.260276396951952,0,0,10.0,31.0,58.0,39.0,Medium
34.0,0,1,1,11.491536007975384,0,1,12.0,11.0,55.0,24.0,Low
23.0,1,2,4,9.33395236354087,1,0,12.0,86.0,87.0,34.0,Medium
27.0,1,0,1,22.48405214061964,1,1,16.0,162.0,16.0,8.0,High
47.0,0,3,1,12.30160271438428,0,1,9.0,11.0,65.0,21.0,Low
34.0,1,3,1,19.488743829604005,0,2,6.0,121.0,89.0,5.0,Medium
30.0,0,1,0,5.406851005619226,0,2,10.0,130.0,76.0,25.0,Medium
35.0,1,0,1,2.6792176948571376,0,0,7.0,150.0,91.0,18.0,Medium
45.0,1,0,2,10.532346348035096,0,2,0.0,26.0,91.0,42.0,Low
36.0,1,1,3,14.610136277099471,0,1,19.0,164.0,96.0,32.0,High
31.0,0,1,2,15.27019737318676,0,2,17.0,45.0,62.0,0.0,Medium
44.0,1,1,4,3.8837960276436414,0,0,18.0,148.0,88.0,16.0,High
23.0,1,1,2,4.386675926263096,0,0,10.0,44.0,11.0,39.0,High
17.0,1,3,4,5.430876263467809,1,0,2.0,117.0,75.0,11.0,Low
45.0,0,0,2,21.655238004421463,1,0,13.0,95.0,1.0,49.0,Medium
46.0,1,2,0,10.623867593991584,0,0,7.0,179.0,17.0,34.0,Medium
23.0,1,1,3,16.97668765835624,0,2,6.0,46.0,65.0,18.0,Medium
40.0,1,1,3,8.882717880585353,0,0,18.0,155.0,24.0,15.0,High
38.0,0,0,3,22.44302761446064,0,0,19.0,99.0,65.0,48.0,High
41.0,1,1,2,21.248176310359632,0,0,7.0,73.0,45.0,35.0,Medium
35.0,1,3,3,2.799722695112988,0,1,8.0,101.0,38.0,11.0,Medium
47.0,1,3,2,15.61364214055014,1,0,11.0,65.0,17.0,46.0,Medium
32.0,1,2,0,9.503091077206982,0,0,17.0,59.0,12.0,47.0,Medium
47.0,1,3,2,19.78492614645431,0,1,0.0,139.0,82.0,46.0,Low
31.0,1,3,1,8.656011962587257,0,0,13.0,96.0,92.0,27.0,Medium
30.0,1,2,2,9.709338403786909,0,2,5.0,65.0,13.0,5.0,Medium
23.0,0,1,4,17.415920407262867,0,2,3.0,89.0,43.0,41.0,Medium
22.0,0,3,4,5.512620593541999,0,0,7.0,53.0,78.0,13.0,Medium
46.0,1,3,4,2.2895262197256923,0,0,16.0,122.0,2.0,18.0,High
26.0,1,0,0,14.444429381024351,0,2,12.0,122.0,84.0,22.0,High
42.0,1,0,1,15.145708170446987,0,2,1.0,115.0,29.0,24.0,Low
31.0,1,0,0,6.302681136074107,0,2,15.0,39.0,63.0,18.0,Medium
21.0,1,1,4,18.548680904206325,0,2,13.0,34.0,30.0,4.0,Medium
49.0,0,3,2,2.799865162749489,1,0,5.0,112.0,22.0,29.0,Medium
32.0,0,0,4,12.44192850086199,0,2,5.0,175.0,11.0,13.0,Medium
35.0,1,3,2,12.894300168251377,0,0,12.0,51.0,67.0,5.0,Medium
44.0,1,0,3,20.59268821100661,0,1,14.0,55.0,6.0,38.0,Medium
29.0,1,1,4,11.87509445191234,0,0,9.0,73.0,40.0,13.0,Medium
31.0,1,1,4,22.728705719564445,0,0,16.0,174.0,38.0,13.0,High
36.0,0,4,4,15.103929993195097,0,0,7.0,40.0,58.0,29.0,Medium
19.0,1,1,4,20.94635010607316,0,1,19.0,13.0,94.0,48.0,Medium
40.0,0,3,3,10.568653387920186,1,0,2.0,129.0,72.0,46.0,Medium
42.0,1,3,5,22.54002777078268,0,0,12.0,56.0,9.0,5.0,Medium
20.0,1,3,2,17.863135389488534,0,0,15.0,109.0,9.0,34.0,High
22.0,1,4,4,6.93540515901631,0,2,17.0,34.0,46.0,44.0,Medium
45.0,0,1,4,13.251519406395278,1,2,16.0,85.0,73.0,18.0,Low
48.0,1,0,0,21.79585731815844,0,2,9.0,99.0,65.0,5.0,Medium
48.0,1,3,3,20.756907037137957,1,1,3.0,11.0,7.0,39.0,Low
16.0,1,3,4,8.912921507273524,1,1,0.0,79.0,64.0,13.0,Low
40.0,1,3,3,4.705808561775462,1,2,5.0,69.0,90.0,48.0,Medium
31.0,0,1,3,12.080271331554894,0,0,6.0,143.0,16.0,42.0,Medium
47.0,2,1,2,0.7695832272727055,0,1,5.0,82.0,89.0,13.0,Medium
21.0,1,0,1,11.166736615368777,0,0,1.0,14.0,91.0,19.0,Low
38.0,0,1,1,0.0621344638911187,0,1,10.0,115.0,54.0,39.0,Medium
49.0,1,2,2,15.558397621131224,0,2,7.0,161.0,88.0,30.0,Medium
29.0,1,1,2,12.935531649644258,1,0,7.0,126.0,12.0,39.0,Medium
47.0,1,3,0,17.734170404574765,0,0,0.0,126.0,86.0,45.0,Low
41.0,1,1,1,6.746275987190899,1,0,16.0,159.0,96.0,18.0,High
37.0,1,3,0,21.16164286465558,0,2,16.0,169.0,27.0,23.0,High
16.0,0,3,0,1.6423131610619652,0,2,16.0,73.0,8.0,47.0,Medium
34.0,1,1,0,16.641126484374574,1,2,13.0,40.0,79.0,21.0,Medium
41.0,0,0,2,4.398486969883234,0,1,7.0,147.0,11.0,25.0,Medium
48.0,1,3,2,6.266210819510135,0,0,15.0,159.0,35.0,46.0,High
24.0,1,2,4,10.992479812650592,0,2,6.0,58.0,55.0,3.0,Medium
23.0,1,0,2,0.1185405948251849,0,2,18.0,120.0,84.0,10.0,High
19.0,1,0,3,14.029912704800932,0,2,3.0,138.0,46.0,32.0,High
49.0,1,2,2,6.313919136380818,2,2,11.0,97.0,40.0,3.0,Medium
33.0,0,0,3,,0,2,12.0,42.0,86.0,43.0,Medium
16.0,1,1,4,16.119613263549837,1,2,2.0,108.0,87.0,28.0,Medium
15.0,1,0,2,14.223053560642054,1,2,1.0,83.0,68.0,7.0,Low
42.0,1,1,4,20.898460699181143,0,2,2.0,156.0,11.0,0.0,Low
27.0,2,1,0,19.96680873069056,0,0,3.0,75.0,17.0,41.0,Low
47.0,0,1,2,8.561802728261323,0,0,15.0,84.0,10.0,37.0,Medium
31.0,0,3,0,11.181750327642623,0,0,8.0,56.0,75.0,22.0,Medium
26.0,1,0,0,15.60546782349724,0,0,3.0,47.0,28.0,1.0,Low
25.0,0,1,1,17.871880196022243,1,1,13.0,45.0,85.0,16.0,Medium
31.0,1,1,1,11.32534298610449,1,0,15.0,137.0,76.0,26.0,High
38.0,0,1,0,6.270192543453501,2,2,10.0,11.0,95.0,16.0,Low
30.0,1,3,0,23.76894986831266,0,1,4.0,74.0,42.0,43.0,Medium
44.0,1,3,2,13.752796580450113,1,0,17.0,75.0,24.0,1.0,Medium
32.0,0,0,4,9.779701961233414,0,1,5.0,18.0,10.0,14.0,Low
37.0,0,3,1,6.049132085780738,0,2,9.0,112.0,55.0,35.0,Medium
28.0,1,0,3,0.9531375232418986,0,2,10.0,45.0,7.0,48.0,Medium
37.0,0,1,3,5.783914577190353,0,0,8.0,132.0,2.0,35.0,Medium
49.0,0,1,2,10.7554717348381,0,2,3.0,61.0,68.0,24.0,Low
21.0,1,3,3,3.343620753702287,0,2,19.0,151.0,83.0,0.0,High
17.0,1,0,1,,0,0,5.0,47.0,2.0,26.0,Low
15.0,1,2,4,1.0425401311033236,0,0,15.0,162.0,83.0,38.0,High
23.0,0,2,2,21.31342815990465,0,2,16.0,142.0,62.0,10.0,High
38.0,0,1,0,17.427982470836582,0,2,10.0,147.0,70.0,3.0,High
21.0,1,3,2,22.481491000341816,0,1,15.0,155.0,63.0,47.0,High
27.0,0,3,1,6.3769851775186215,1,1,2.0,100.0,5.0,18.0,Low
21.0,1,1,3,10.020209318113777,0,2,16.0,24.0,9.0,19.0,Medium
25.0,1,1,3,9.5094249548104,0,2,16.0,96.0,33.0,10.0,High
31.0,1,1,1,0.36516458675821,0,0,8.0,105.0,1.0,31.0,Medium
45.0,0,1,1,1.804240650657035,0,2,7.0,139.0,31.0,5.0,Medium
49.0,1,0,0,4.393994402579708,0,1,8.0,41.0,39.0,1.0,Low
47.0,0,3,3,23.05277476401361,1,1,15.0,115.0,41.0,27.0,High
19.0,1,1,1,20.683879956088173,0,0,4.0,100.0,57.0,3.0,Medium
19.0,2,0,0,11.62117294282038,0,2,17.0,132.0,1.0,26.0,High
18.0,1,0,1,20.65044939313502,1,0,8.0,136.0,98.0,41.0,Medium
47.0,0,3,4,15.170237327044482,0,0,6.0,167.0,66.0,31.0,Medium
16.0,0,3,2,14.818566431380557,1,2,1.0,80.0,52.0,7.0,Low
16.0,1,2,4,12.159044257554406,0,0,16.0,144.0,36.0,42.0,High
16.0,0,1,1,18.4491859702692,0,0,7.0,69.0,84.0,23.0,Medium
34.0,1,1,2,17.061154933705495,0,2,8.0,30.0,87.0,26.0,Medium
18.0,1,0,2,23.079480389706752,0,0,18.0,,55.0,11.0,High
22.0,1,3,1,23.260605687767764,1,0,1.0,138.0,16.0,49.0,Low
34.0,1,1,1,11.461803940001351,0,2,17.0,94.0,27.0,40.0,High
40.0,1,0,1,19.532502757463632,0,1,14.0,16.0,60.0,48.0,Medium
29.0,1,2,0,18.982113512580465,0,0,,19.0,30.0,1.0,Low
20.0,1,2,0,19.68275875784983,0,0,1.0,18.0,40.0,46.0,Low
47.0,1,0,3,16.628410413714853,0,2,12.0,139.0,10.0,2.0,High
34.0,0,3,4,11.29742465012433,0,1,6.0,76.0,27.0,23.0,Medium
16.0,1,3,0,0.827041941327364,2,3,13.0,171.0,71.0,16.0,Low
49.0,0,2,3,4.334312803043712,0,0,5.0,88.0,9.0,26.0,Medium
43.0,0,3,1,23.58659706562236,0,0,18.0,94.0,47.0,24.0,High
38.0,1,0,3,23.72581740860278,0,0,17.0,70.0,37.0,5.0,Medium
43.0,0,3,3,16.794213959023182,0,1,19.0,118.0,38.0,9.0,High
42.0,1,0,3,15.17983744245739,0,2,19.0,28.0,68.0,42.0,Medium
43.0,0,0,0,21.117918277607387,0,1,6.0,46.0,25.0,24.0,Low
20.0,1,1,3,0.3424397106587555,0,1,3.0,120.0,54.0,5.0,Medium
36.0,1,1,0,21.218395680326715,0,0,15.0,88.0,3.0,44.0,Medium
21.0,1,3,1,13.373477041596615,1,1,5.0,87.0,91.0,48.0,Medium
26.0,1,1,3,18.554628032821803,0,0,9.0,177.0,63.0,38.0,High
16.0,0,1,4,9.6395086738994,0,0,3.0,69.0,92.0,21.0,Low
45.0,0,0,0,17.704232932250996,0,0,7.0,58.0,91.0,26.0,Medium
42.0,1,0,2,2.1223702854896818,0,0,7.0,133.0,21.0,49.0,Medium
40.0,1,3,0,16.379467967283848,1,2,16.0,81.0,38.0,39.0,Medium
22.0,1,0,0,17.950501003879673,0,1,6.0,133.0,9.0,4.0,Medium
15.0,1,3,1,7.032998939301772,0,2,18.0,42.0,27.0,42.0,Medium
20.0,1,0,0,0.6859496847555615,0,2,12.0,119.0,11.0,45.0,High
18.0,0,1,0,3.652394910428497,1,0,6.0,150.0,44.0,44.0,Medium
15.0,1,1,3,21.60856548239085,0,0,9.0,163.0,58.0,8.0,High
33.0,0,1,4,20.557352118524086,1,0,17.0,150.0,61.0,28.0,High
45.0,1,0,4,18.37324217773833,0,0,17.0,73.0,60.0,12.0,Medium
48.0,1,1,1,19.626611271445363,0,0,14.0,15.0,36.0,31.0,Low
23.0,0,1,0,5.444869401044109,0,0,9.0,136.0,52.0,12.0,Medium
36.0,0,3,4,20.249047999199284,0,0,6.0,176.0,82.0,5.0,Medium
29.0,1,3,3,16.14661957923351,0,2,12.0,115.0,49.0,0.0,Medium
43.0,1,3,3,7.291345142573751,0,0,13.0,93.0,35.0,3.0,Medium
33.0,1,2,3,21.66252449420631,0,2,18.0,124.0,37.0,3.0,High
19.0,0,0,3,15.788498843450808,0,1,0.0,35.0,22.0,41.0,Low
18.0,1,3,3,9.1940955551933,1,0,10.0,,37.0,5.0,Medium
35.0,1,0,2,10.004834987797503,0,1,2.0,54.0,96.0,49.0,Medium
30.0,0,0,1,14.852997083054962,0,2,2.0,106.0,8.0,2.0,Low
21.0,0,1,0,15.525417372533438,1,1,14.0,127.0,11.0,20.0,High
27.0,0,3,3,9.089257664275747,1,0,11.0,75.0,60.0,35.0,Medium
47.0,0,1,0,21.448803303708367,0,1,17.0,42.0,4.0,23.0,Medium
